Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable
?a  sourcePlace  ?b   ,?a  sourceMountain  ?b,1,1,1,179,179,179,?a
?a  locationCountry  ?b   ,?a  country  ?b,0.03358569,0.547158404,1,905,1654,905,?a
?a  associatedBand  ?b   ,?a  associatedMusicalArtist  ?b,1,1,1,52171,52171,52171,?a
?a  associatedMusicalArtist  ?b   ,?a  associatedBand  ?b,1,1,1,52171,52171,52171,?a
?f  developer  ?b  ?a  gameEngine  ?f   ,?a  publisher  ?b,0.016129032,1,1,3,3,3,?a
?a  magazine  ?f  ?f  publisher  ?b   ,?a  publisher  ?b,0.016129032,1,1,3,3,3,?a
?a  keyPerson  ?b  ?a  owner  ?b   ,?a  foundedBy  ?b,0.027863777,0.545454545,1,18,33,18,?b
?a  keyPerson  ?b  ?a  owningCompany  ?b   ,?a  foundedBy  ?b,0.027863777,0.461538462,1,18,39,18,?b
?a  growingGrape  ?f  ?b  wineRegion  ?f   ,?a  growingGrape  ?b,0.057981928,1,1,77,77,77,?a
?e  artist  ?b  ?e  recordedIn  ?a   ,?a  artist  ?b,0.012413793,0.017208413,1,9,523,9,?a
?a  predecessor  ?b  ?b  vicePresident  ?a   ,?a  president  ?b,0.025685677,0.936507937,1,59,63,59,?a
?a  frazioni  ?f  ?f  province  ?b   ,?a  province  ?b,0.068965517,1,1,10,10,10,?a
?e  frazioni  ?a  ?e  province  ?b   ,?a  province  ?b,0.068965517,0.909090909,1,10,11,10,?a
?a  director  ?b  ?a  voice  ?b   ,?a  author  ?b,0.010144928,0.777777778,1,7,9,7,?b
?f  ethnicity  ?b  ?a  parent  ?f   ,?a  ethnicity  ?b,0.01826484,0.266666667,1,4,15,4,?a
?e  ethnicity  ?b  ?e  parent  ?a   ,?a  ethnicity  ?b,0.01369863,0.142857143,1,3,21,3,?a
?a  owner  ?b  ?a  tenant  ?b   ,?a  operator  ?b,0.057017544,0.393939394,1,13,33,13,?a
?a  isPartOf  ?f  ?b  service  ?f   ,?a  operator  ?b,0.013157895,0.75,1,3,4,3,?a
?b  ground  ?a  ?a  owner  ?b   ,?a  operator  ?b,0.048245614,0.244444444,1,11,45,11,?a
?a  isPartOf  ?b  ?a  owner  ?b   ,?a  operator  ?b,0.048245614,0.846153846,1,11,13,11,?a
?e  isPartOf  ?a  ?e  owner  ?b   ,?a  operator  ?b,0.013157895,0.09375,1,3,32,3,?a
?e  garrison  ?a  ?e  militaryBranch  ?b   ,?a  operator  ?b,0.013157895,0.022900763,1,3,131,3,?a
?f  manufacturer  ?b  ?a  vehicle  ?f   ,?a  manufacturer  ?b,0.012345679,0.8,1,4,5,4,?a
?e  manufacturer  ?b  ?e  vehicle  ?a   ,?a  manufacturer  ?b,0.015432099,1,1,5,5,5,?a
?a  institution  ?f  ?b  sisterCollege  ?f   ,?a  institution  ?b,0.018867925,0.666666667,1,2,3,2,?b
?a  institution  ?f  ?f  sisterCollege  ?b   ,?a  institution  ?b,0.018867925,0.4,1,2,5,2,?b
?e  governmentType  ?a  ?e  officialLanguage  ?b   ,?a  officialLanguage  ?b,0.010676157,0.02189781,1,3,137,3,?a
?e  governmentType  ?a  ?e  language  ?b   ,?a  officialLanguage  ?b,0.010676157,0.013392857,1,3,224,3,?a
?a  president  ?b  ?b  spouse  ?a   ,?a  governor  ?b,0.017191977,0.3,1,6,20,6,?a
?a  president  ?b  ?a  spouse  ?b   ,?a  governor  ?b,0.017191977,0.3,1,6,20,6,?a
?b  knownFor  ?f  ?a  owner  ?f   ,?a  breeder  ?b,0.024590164,0.068181818,1,3,44,3,?a
?f  foundedBy  ?b  ?a  owner  ?f   ,?a  breeder  ?b,0.024590164,0.046153846,1,3,65,3,?a
?a  affiliation  ?f  ?f  europeanParliamentGroup  ?b   ,?a  europeanParliamentGroup  ?b,0.033333333,0.8,1,4,5,4,?a
?e  affiliation  ?a  ?e  europeanParliamentGroup  ?b   ,?a  europeanParliamentGroup  ?b,0.033333333,1,1,4,4,4,?a
?a  foundedBy  ?b  ?a  owningCompany  ?b   ,?a  keyPerson  ?b,0.016574586,0.620689655,1,18,29,18,?a
?a  foundedBy  ?b  ?a  owner  ?b   ,?a  keyPerson  ?b,0.016574586,0.692307692,1,18,26,18,?a
?e  operatingSystem  ?b  ?e  programmingLanguage  ?a   ,?a  operatingSystem  ?b,0.020100503,0.027027027,1,4,148,4,?a
?a  affiliation  ?f  ?f  europeanAffiliation  ?b   ,?a  europeanAffiliation  ?b,0.027777778,0.833333333,1,5,6,5,?a
?e  affiliation  ?a  ?e  europeanAffiliation  ?b   ,?a  europeanAffiliation  ?b,0.027777778,1,1,5,5,5,?a
?f  affiliation  ?b  ?a  internationalAffiliation  ?f   ,?a  europeanAffiliation  ?b,0.138888889,0.581395349,1,25,43,25,?a
?a  largestCity  ?b  ?b  region  ?a   ,?a  countySeat  ?b,0.052199851,0.693069307,1,70,101,70,?b
?f  daylightSavingTimeZone  ?b  ?a  state  ?f   ,?a  daylightSavingTimeZone  ?b,0.044444444,1,1,6,6,6,?a
?a  daylightSavingTimeZone  ?f  ?f  state  ?b   ,?a  daylightSavingTimeZone  ?b,0.044444444,1,1,6,6,6,?a
?a  capitalCountry  ?f  ?f  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1,1,2,2,2,?a
?a  capitalRegion  ?f  ?f  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1,1,2,2,2,?a
?f  state  ?b  ?a  timeZone  ?f   ,?a  daylightSavingTimeZone  ?b,0.044444444,1,1,6,6,6,?a
?a  capital  ?f  ?f  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,0.222222222,1,2,9,2,?a
?a  state  ?b  ?a  timeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.037037037,0.3125,1,5,16,5,?a
?e  capital  ?a  ?e  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,0.4,1,2,5,2,?a
?e  capitalCountry  ?a  ?e  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1,1,2,2,2,?a
?e  capitalRegion  ?a  ?e  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1,1,2,2,2,?a
?e  daylightSavingTimeZone  ?b  ?e  state  ?a   ,?a  daylightSavingTimeZone  ?b,0.022222222,0.333333333,1,3,9,3,?a
?e  city  ?a  ?e  state  ?b   ,?a  canton  ?b,0.010152284,0.001498127,1,2,1335,2,?a
?a  president  ?b  ?b  spouse  ?a   ,?a  spouse  ?b,0.010834236,1,1,20,20,20,?b
?b  president  ?a  ?b  spouse  ?a   ,?a  spouse  ?b,0.010834236,1,1,20,20,20,?b
?a  arrondissement  ?f  ?b  part  ?f   ,?a  department  ?b,0.013605442,0.222222222,1,2,9,2,?a
?a  arrondissement  ?f  ?f  department  ?b   ,?a  department  ?b,0.068027211,0.555555556,1,10,18,10,?a
?f  sire  ?b  ?a  sire  ?f   ,?a  grandsire  ?b,0.729613734,0.965909091,1,170,176,170,?a
?e  arrondissement  ?a  ?e  department  ?b   ,?a  department  ?b,0.06122449,0.818181818,1,9,11,9,?a
?a  director  ?b  ?a  musicComposer  ?b   ,?a  editing  ?b,0.016556291,0.714285714,1,5,7,5,?a
?e  isPartOfWineRegion  ?b  ?e  similar  ?a   ,?a  isPartOfWineRegion  ?b,0.115107914,1,1,16,16,16,?a
?a  dam  ?f  ?f  sire  ?b   ,?a  damsire  ?b,0.041958042,1,1,6,6,6,?a
?a  previousWork  ?f  ?f  series  ?b   ,?a  series  ?b,0.37037037,0.991735537,1,120,121,120,?a
?f  series  ?b  ?a  subsequentWork  ?f   ,?a  series  ?b,0.37037037,1,1,120,120,120,?a
?f  series  ?b  ?a  spouse  ?f   ,?a  series  ?b,0.064814815,1,1,21,21,21,?a
?a  relative  ?f  ?f  series  ?b   ,?a  series  ?b,0.104938272,1,1,34,34,34,?a
?a  lastAppearance  ?f  ?f  series  ?b   ,?a  series  ?b,0.018518519,0.666666667,1,6,9,6,?a
?a  child  ?f  ?f  series  ?b   ,?a  series  ?b,0.040123457,0.866666667,1,13,15,13,?a
?e  series  ?b  ?e  spouse  ?a   ,?a  series  ?b,0.067901235,1,1,22,22,22,?a
?e  child  ?a  ?e  series  ?b   ,?a  series  ?b,0.049382716,0.888888889,1,16,18,16,?a
?e  previousWork  ?a  ?e  series  ?b   ,?a  series  ?b,0.37037037,1,1,120,120,120,?a
?e  series  ?b  ?e  subsequentWork  ?a   ,?a  series  ?b,0.37037037,1,1,120,120,120,?a
?e  relative  ?a  ?e  series  ?b   ,?a  series  ?b,0.111111111,0.837209302,1,36,43,36,?a
?e  city  ?a  ?e  county  ?b   ,?a  ceremonialCounty  ?b,0.017647059,0.028846154,1,3,104,3,?a
?a  councilArea  ?b  ?b  largestSettlement  ?a   ,?a  lieutenancyArea  ?b,0.018518519,1,1,2,2,2,?a
?e  archipelago  ?b  ?e  largestSettlement  ?a   ,?a  lieutenancyArea  ?b,0.018518519,1,1,2,2,2,?a
?a  childOrganisation  ?f  ?f  jurisdiction  ?b   ,?a  jurisdiction  ?b,0.037037037,1,1,4,4,4,?a
?f  jurisdiction  ?b  ?a  parentOrganisation  ?f   ,?a  jurisdiction  ?b,0.092592593,0.666666667,1,10,15,10,?a
?e  jurisdiction  ?b  ?e  parentOrganisation  ?a   ,?a  jurisdiction  ?b,0.064814815,0.583333333,1,7,12,7,?a
?e  childOrganisation  ?a  ?e  jurisdiction  ?b   ,?a  jurisdiction  ?b,0.046296296,0.384615385,1,5,13,5,?a
?a  anthem  ?f  ?f  twinCountry  ?b   ,?a  twinCountry  ?b,0.024539877,1,1,4,4,4,?b
?f  twinCountry  ?b  ?a  twinCountry  ?f   ,?a  twinCountry  ?b,0.079754601,1,1,13,13,13,?b
?f  isPartOf  ?b  ?a  twinTown  ?f   ,?a  twinCountry  ?b,0.012269939,0.014814815,1,2,135,2,?b
?e  anthem  ?a  ?e  twinCountry  ?b   ,?a  twinCountry  ?b,0.024539877,1,1,4,4,4,?b
?a  affiliation  ?f  ?f  internationalAffiliation  ?b   ,?a  internationalAffiliation  ?b,0.015432099,0.555555556,1,5,9,5,?a
?e  affiliation  ?a  ?e  internationalAffiliation  ?b   ,?a  internationalAffiliation  ?b,0.015432099,0.357142857,1,5,14,5,?a
?a  composer  ?b  ?a  endingTheme  ?b   ,?a  openingTheme  ?b,0.014888337,0.666666667,1,6,9,6,?a
?e  showJudge  ?b  ?a  showJudge  ?e   ,?a  showJudge  ?b,0.020920502,1,1,5,5,5,?b
?b  country  ?f  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.015625,0.004524887,1,3,663,3,?b
?f  isPartOf  ?b  ?a  state  ?f   ,?a  routeEnd  ?b,0.010416667,0.032258065,1,2,62,2,?b
?b  largestCity  ?f  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.010416667,0.1,1,2,20,2,?b
?f  largestCity  ?b  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.010416667,0.4,1,2,5,2,?b
?f  country  ?b  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.015625,0.033707865,1,3,89,3,?b
?a  relation  ?f  ?b  relative  ?f   ,?a  relation  ?b,0.019762846,0.185185185,1,5,27,5,?b
?e  parent  ?b  ?e  spouse  ?a   ,?a  relation  ?b,0.011857708,0.022556391,1,3,133,3,?b
?a  city  ?b  ?a  map  ?b   ,?a  routeJunction  ?b,0.010309278,0.727272727,1,8,11,8,?b
?b  country  ?f  ?a  nearestCity  ?f   ,?a  nearestCity  ?b,0.017021277,0.051948052,1,4,77,4,?b
?f  country  ?b  ?a  nearestCity  ?f   ,?a  nearestCity  ?b,0.012765957,0.033333333,1,3,90,3,?b
?b  isPartOf  ?f  ?a  twinCountry  ?f   ,?a  twinTown  ?b,0.010204082,0.018867925,1,2,106,2,?b
?a  anthem  ?f  ?f  twinTown  ?b   ,?a  twinTown  ?b,0.015306122,1,1,3,3,3,?b
?b  doctoralStudent  ?a  ?a  influencedBy  ?b   ,?a  doctoralAdvisor  ?b,0.025477707,0.571428571,1,4,7,4,?a
?b  isPartOf  ?f  ?a  twinTown  ?f   ,?a  twinTown  ?b,0.030612245,0.013245033,1,6,453,6,?b
?b  doctoralStudent  ?a  ?b  influenced  ?a   ,?a  doctoralAdvisor  ?b,0.01910828,0.6,1,3,5,3,?a
?e  anthem  ?a  ?e  twinTown  ?b   ,?a  twinTown  ?b,0.015306122,1,1,3,3,3,?b
?f  isPartOf  ?b  ?a  twinTown  ?f   ,?a  twinTown  ?b,0.030612245,0.044444444,1,6,135,6,?b
?b  doctoralAdvisor  ?a  ?a  influenced  ?b   ,?a  doctoralStudent  ?b,0.018181818,0.75,1,3,4,3,?b
?a  countySeat  ?f  ?f  state  ?b   ,?a  state  ?b,0.025302221,0.97826087,1,90,92,90,?a
?a  largestCity  ?f  ?f  state  ?b   ,?a  state  ?b,0.027270171,0.96039604,1,97,101,97,?a
?e  largestCity  ?a  ?e  state  ?b   ,?a  state  ?b,0.027270171,0.073932927,1,97,1312,97,?a
?e  countySeat  ?a  ?e  state  ?b   ,?a  state  ?b,0.025302221,0.069605568,1,90,1293,90,?a
?f  isPartOf  ?b  ?a  province  ?f   ,?a  region  ?b,0.059655325,0.992647059,1,135,136,135,?a
?a  notableCommander  ?e  ?e  predecessor  ?b   ,?a  notableCommander  ?b,0.026819923,0.118644068,1,7,59,7,?b
?a  author  ?b  ?b  knownFor  ?a   ,?a  creator  ?b,0.013249651,0.904761905,1,19,21,19,?a
?b  director  ?a  ?b  writer  ?a   ,?a  notableWork  ?b,0.011904762,0.00877193,1,2,228,2,?b
?b  producer  ?a  ?b  writer  ?a   ,?a  notableWork  ?b,0.011904762,0.001960784,1,2,1020,2,?b
?a  notableWork  ?f  ?b  subsequentWork  ?f   ,?a  notableWork  ?b,0.053571429,0.5625,1,9,16,9,?b
?a  notableWork  ?f  ?f  previousWork  ?b   ,?a  notableWork  ?b,0.05952381,0.625,1,10,16,10,?b
?a  district  ?f  ?f  federalState  ?b   ,?a  federalState  ?b,0.023076923,0.5,1,3,6,3,?a
?f  federalState  ?b  ?a  region  ?f   ,?a  federalState  ?b,0.169230769,0.814814815,1,22,27,22,?a
?e  federalState  ?b  ?e  region  ?a   ,?a  federalState  ?b,0.038461538,0.555555556,1,5,9,5,?a
?e  district  ?a  ?e  federalState  ?b   ,?a  federalState  ?b,0.023076923,0.115384615,1,3,26,3,?a
?a  canton  ?b  ?b  neighboringMunicipality  ?a   ,?a  neighboringMunicipality  ?b,0.030448718,1,1,19,19,19,?b
?b  part  ?f  ?a  routeStart  ?f   ,?a  routeStart  ?b,0.01010101,0.133333333,1,2,15,2,?b
?f  isPartOf  ?b  ?a  state  ?f   ,?a  routeStart  ?b,0.01010101,0.032258065,1,2,62,2,?b
?a  operator  ?b  ?a  tenant  ?b   ,?a  owner  ?b,0.010869565,0.565217391,1,13,23,13,?a
?b  followingEvent  ?a  ?a  followingEvent  ?b   ,?a  previousEvent  ?b,0.145631068,1,1,15,15,15,?a
?e  grandsire  ?b  ?e  sire  ?a   ,?a  sire  ?b,0.401785714,0.989010989,1,90,91,90,?a
?e  dam  ?a  ?e  damsire  ?b   ,?a  sire  ?b,0.022321429,1,1,5,5,5,?a
?b  leader  ?f  ?a  thirdCommander  ?f   ,?a  commandStructure  ?b,0.018867925,0.068181818,1,3,44,3,?a
?a  varietals  ?f  ?b  wineRegion  ?f   ,?a  varietals  ?b,0.032258065,1,1,7,7,7,?b
?a  varietals  ?e  ?e  wineRegion  ?b   ,?a  varietals  ?b,0.032258065,0.023411371,1,7,299,7,?b
?a  citizenship  ?b  ?a  nationality  ?b   ,?a  stateOfOrigin  ?b,0.026137464,0.473684211,1,27,57,27,?a
?e  class  ?a  ?e  division  ?b   ,?a  division  ?b,0.055240793,0.639344262,1,39,61,39,?a
?a  nationality  ?b  ?a  residence  ?b   ,?a  stateOfOrigin  ?b,0.060019361,0.342541436,1,62,181,62,?a
?a  deathPlace  ?b  ?a  nationality  ?b   ,?a  stateOfOrigin  ?b,0.096805421,0.256410256,1,100,390,100,?a
?e  order  ?a  ?e  phylum  ?b   ,?a  division  ?b,0.021246459,0.047468354,1,15,316,15,?a
?e  class  ?a  ?e  phylum  ?b   ,?a  division  ?b,0.041076487,0.194630872,1,29,149,29,?a
?b  affiliation  ?f  ?a  politicalPartyInLegislature  ?f   ,?a  politicalPartyInLegislature  ?b,0.046822742,0.736842105,1,14,19,14,?b
?a  house  ?f  ?f  politicalPartyOfLeader  ?b   ,?a  politicalPartyInLegislature  ?b,0.013377926,1,1,4,4,4,?b
?a  politicalPartyInLegislature  ?e  ?e  splitFromParty  ?b   ,?a  politicalPartyInLegislature  ?b,0.030100334,1,1,9,9,9,?b
?e  affiliation  ?b  ?a  politicalPartyInLegislature  ?e   ,?a  politicalPartyInLegislature  ?b,0.033444816,0.666666667,1,10,15,10,?b
?a  deputy  ?b  ?b  successor  ?a   ,?a  vicePresident  ?b,0.013605442,0.04,1,2,50,2,?b
?b  president  ?a  ?b  primeMinister  ?a   ,?a  vicePresident  ?b,0.027210884,0.047619048,1,4,84,4,?b
?b  governor  ?f  ?a  vicePresident  ?f   ,?a  vicePresident  ?b,0.013605442,0.285714286,1,2,7,2,?b
?f  governor  ?b  ?a  vicePresident  ?f   ,?a  vicePresident  ?b,0.013605442,0.333333333,1,2,6,2,?b
?f  country  ?b  ?a  sourceRegion  ?f   ,?a  sourceCountry  ?b,0.132450331,0.196078431,1,20,102,20,?a
?f  mouthCountry  ?b  ?a  source  ?f   ,?a  sourceCountry  ?b,0.013245033,0.666666667,1,2,3,2,?a
?e  country  ?b  ?e  lowestPlace  ?a   ,?a  sourceCountry  ?b,0.013245033,0.285714286,1,2,7,2,?a
?f  monarch  ?b  ?a  president  ?f   ,?a  monarch  ?b,0.011121409,0.226415094,1,12,53,12,?a
?b  successor  ?a  ?b  vicePresident  ?a   ,?a  predecessor  ?b,0.012308313,0.824324324,1,61,74,61,?b
?a  riverMouth  ?b  ?a  state  ?b   ,?a  mouthRegion  ?b,0.019607843,0.666666667,1,2,3,2,?a
?b  place  ?f  ?a  usedInWar  ?f   ,?a  usedInWar  ?b,0.019047619,1,1,4,4,4,?b
?a  portrayer  ?f  ?b  subsequentWork  ?f   ,?a  portrayer  ?b,0.013020833,0.833333333,1,5,6,5,?b
?a  portrayer  ?f  ?b  previousWork  ?f   ,?a  portrayer  ?b,0.013020833,1,1,5,5,5,?b
?a  lastAppearance  ?f  ?f  portrayer  ?b   ,?a  portrayer  ?b,0.0390625,1,1,15,15,15,?b
?a  portrayer  ?e  ?e  subsequentWork  ?b   ,?a  portrayer  ?b,0.013020833,1,1,5,5,5,?b
?a  portrayer  ?e  ?e  previousWork  ?b   ,?a  portrayer  ?b,0.013020833,1,1,5,5,5,?b
?e  largestCity  ?a  ?e  state  ?b   ,?a  isPartOf  ?b,0.050994499,0.918445122,0.998342999,1205,1312,1207,?a
?e  countySeat  ?a  ?e  state  ?b   ,?a  isPartOf  ?b,0.050275074,0.918793503,0.998319328,1188,1293,1190,?a
?a  nationality  ?b   ,?a  stateOfOrigin  ?b,1,0.341939755,0.997104247,1033,3021,1036,?a
?a  isPartOf  ?f  ?f  state  ?b   ,?a  isPartOf  ?b,0.115700381,0.995992714,0.995992714,2734,2745,2745,?a
?f  country  ?b  ?a  leaderParty  ?f   ,?a  country  ?b,0.018184517,0.964566929,0.995934959,490,508,492,?a
?f  country  ?b  ?a  largestCity  ?f   ,?a  country  ?b,0.04241817,0.921031426,0.995644599,1143,1241,1148,?a
?f  country  ?b  ?a  state  ?f   ,?a  country  ?b,0.093075039,0.779850746,0.994843316,2508,3216,2521,?a
?a  neighboringMunicipality  ?f  ?f  type  ?b   ,?a  type  ?b,0.014089702,0.749019608,0.994791667,191,255,192,?a
?e  neighboringMunicipality  ?a  ?e  type  ?b   ,?a  type  ?b,0.014015934,0.727969349,0.994764398,190,261,191,?a
?e  country  ?b  ?e  countySeat  ?a   ,?a  country  ?b,0.04067394,0.817300522,0.993653672,1096,1341,1103,?a
?f  country  ?b  ?a  countySeat  ?f   ,?a  country  ?b,0.040302828,0.993595608,0.993595608,1086,1093,1093,?a
?a  family  ?f  ?f  kingdom  ?b   ,?a  kingdom  ?b,0.525718608,0.861926416,0.992384579,2085,2419,2101,?a
?e  country  ?b  ?e  largestCity  ?a   ,?a  country  ?b,0.042009946,0.804548685,0.992112182,1132,1407,1141,?a
?a  parent  ?b  ?b  successor  ?a   ,?a  predecessor  ?b,0.022800646,0.911290323,0.99122807,113,124,114,?b
?a  genus  ?f  ?f  order  ?b   ,?a  order  ?b,0.014783927,0.987341772,0.987341772,78,79,79,?a
?f  country  ?b  ?a  isPartOf  ?f   ,?a  country  ?b,0.386179767,0.885089734,0.987286528,10406,11757,10540,?a
?f  kingdom  ?b  ?a  order  ?f   ,?a  kingdom  ?b,0.206253152,0.900881057,0.985542169,818,908,830,?a
?f  country  ?b  ?a  location  ?f   ,?a  locationCountry  ?b,0.04050786,0.017795485,0.985294118,67,3765,68,?a
?a  part  ?f  ?f  timeZone  ?b   ,?a  timeZone  ?b,0.029953643,0.613138686,0.984375,252,411,256,?a
?b  countySeat  ?a  ?b  largestCity  ?a   ,?a  isPartOf  ?b,0.039949217,0.907692308,0.984358707,944,1040,959,?a
?b  predecessor  ?a  ?a  vicePresident  ?b   ,?a  successor  ?b,0.010381212,0.968253968,0.983870968,61,63,62,?a
?b  child  ?a   ,?a  parent  ?b,0.521406728,0.539556962,0.982708934,341,632,347,?a
?e  influenced  ?a  ?e  region  ?b   ,?a  region  ?b,0.023420239,0.209486166,0.981481481,53,253,54,?a
?e  class  ?a  ?e  phylum  ?b   ,?a  phylum  ?b,0.015524312,0.355704698,0.981481481,53,149,54,?a
?a  house  ?f  ?f  politicalPartyInLegislature  ?b   ,?a  politicalPartyInLegislature  ?b,0.177257525,0.981481481,0.981481481,53,54,54,?b
?e  family  ?a  ?e  kingdom  ?b   ,?a  kingdom  ?b,0.169944528,0.739846323,0.981077147,674,911,687,?a
?f  country  ?b  ?a  part  ?f   ,?a  country  ?b,0.022526535,0.936728395,0.980613893,607,648,619,?a
?f  phylum  ?b  ?a  phylum  ?f   ,?a  phylum  ?b,0.028998243,0.98019802,0.98019802,99,101,101,?a
?e  country  ?b  ?e  neighboringMunicipality  ?a   ,?a  country  ?b,0.01091071,0.976744186,0.98,294,301,300,?a
?e  artist  ?b  ?e  subsequentWork  ?a   ,?a  artist  ?b,0.187586207,0.951048951,0.978417266,136,143,139,?a
?e  country  ?b  ?e  part  ?a   ,?a  country  ?b,0.094411044,0.749778957,0.977333846,2544,3393,2603,?a
?a  influenced  ?f  ?f  region  ?b   ,?a  region  ?b,0.019001326,0.25,0.977272727,43,172,44,?a
?f  country  ?b  ?a  neighboringMunicipality  ?f   ,?a  country  ?b,0.010947822,0.976821192,0.976821192,295,302,302,?a
?a  region  ?f  ?f  state  ?b   ,?a  state  ?b,0.070846219,0.826229508,0.976744186,252,305,258,?a
?b  rightTributary  ?a   ,?a  riverMouth  ?b,0.234421365,0.806122449,0.975308642,79,98,81,?a
?b  parent  ?a  ?b  predecessor  ?a   ,?a  successor  ?b,0.019230769,0.875968992,0.974137931,113,129,116,?a
?b  countySeat  ?a   ,?a  isPartOf  ?b,0.050740584,0.894108874,0.974004874,1199,1341,1231,?a
?a  city  ?f  ?f  state  ?b   ,?a  state  ?b,0.010402024,0.698113208,0.973684211,37,53,38,?a
?f  owner  ?b  ?a  sisterStation  ?f   ,?a  owner  ?b,0.086120401,0.673202614,0.971698113,103,153,106,?a
?e  owner  ?b  ?e  sisterStation  ?a   ,?a  owner  ?b,0.084448161,0.737226277,0.971153846,101,137,104,?a
?a  isPartOf  ?f  ?f  timeZone  ?b   ,?a  timeZone  ?b,0.345180078,0.566634146,0.970588235,2904,5125,2992,?a
?b  successor  ?a  ?b  vicePresident  ?a   ,?a  president  ?b,0.02829778,0.878378378,0.970149254,65,74,67,?a
?a  largestCity  ?b   ,?a  countySeat  ?b,0.775540641,0.670967742,0.969245107,1040,1550,1073,?b
?b  spouse  ?a   ,?a  spouse  ?b,0.848862405,0.848862405,0.968479604,1567,1846,1618,?b
?f  country  ?b  ?a  district  ?f   ,?a  country  ?b,0.019000965,0.893542757,0.966037736,512,573,530,?a
?a  album  ?f  ?f  artist  ?b   ,?a  musicalBand  ?b,0.102385686,0.939209726,0.965625,309,329,320,?b
?a  album  ?f  ?f  artist  ?b   ,?a  musicalArtist  ?b,0.102385686,0.939209726,0.965625,309,329,320,?b
?b  governor  ?a  ?b  predecessor  ?a   ,?a  successor  ?b,0.014295439,0.954545455,0.965517241,84,88,87,?a
?e  part  ?a  ?e  timeZone  ?b   ,?a  timeZone  ?b,0.055033876,0.311155914,0.964583333,463,1488,480,?a
?f  artist  ?b  ?a  previousWork  ?f   ,?a  artist  ?b,0.187586207,0.951048951,0.964539007,136,143,141,?a
?b  subsequentWork  ?a   ,?a  previousWork  ?b,0.822722821,0.828402367,0.964408726,840,1014,871,?a
?e  class  ?b  ?e  family  ?a   ,?a  class  ?b,0.172289412,0.800788955,0.964370546,812,1014,842,?a
