Body,Head,Head_Coverage,Standard_Confidence,Pca_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?a  father  ?f  ?f  name  ?b   ,?a  parent  ?b,0.020985,0.055794,0.962963,26,466,27,?b
?a  mother  ?e  ?e  spouse  ?b   ,?a  parent  ?b,0.400323,0.888889,0.957529,496,558,518,?b
?a  mother  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.399516,0.888689,0.957447,495,557,517,?b
?f  name  ?a  ?b  spouse  ?f   ,?a  spouse  ?b,0.114583,0.195556,0.956522,132,675,138,?a
?e  name  ?a  ?e  spouse  ?b   ,?a  spouse  ?b,0.114583,0.195556,0.956522,132,675,138,?a
?f  name  ?b  ?a  predecessor  ?f   ,?a  predecessor  ?b,0.044586,0.071429,0.954545,21,294,22,?b
?e  name  ?b  ?e  successor  ?a   ,?a  predecessor  ?b,0.044586,0.071429,0.954545,21,294,22,?b
?f  name  ?a  ?b  predecessor  ?f   ,?a  successor  ?b,0.044586,0.071429,0.954545,21,294,22,?a
?e  name  ?a  ?e  successor  ?b   ,?a  successor  ?b,0.044586,0.071429,0.954545,21,294,22,?a
?a  child  ?f  ?f  name  ?b   ,?a  child  ?b,0.039536,0.161987,0.949367,75,463,79,?b
?a  child  ?f  ?b  name  ?f   ,?a  child  ?b,0.039536,0.892857,0.9375,75,84,80,?b
?b  father  ?a  ?b  predecessor  ?a   ,?a  child  ?b,0.069056,0.770588,0.935714,131,170,140,?b
?b  father  ?a  ?a  successor  ?b   ,?a  child  ?b,0.069056,0.770588,0.935714,131,170,140,?b
?b  child  ?f  ?a  sibling  ?f   ,?a  parent  ?b,0.218725,0.931271,0.931271,271,291,291,?b
?b  child  ?f  ?f  sibling  ?a   ,?a  parent  ?b,0.218725,0.931271,0.931271,271,291,291,?b
?b  child  ?a  ?b  successor  ?a   ,?a  father  ?b,0.199088,0.639024,0.929078,131,205,141,?a
?b  child  ?a  ?a  predecessor  ?b   ,?a  father  ?b,0.199088,0.639024,0.929078,131,205,141,?a
?a  father  ?f  ?b  name  ?f   ,?a  father  ?b,0.039514,0.928571,0.928571,26,28,28,?a
?a  father  ?f  ?b  name  ?f   ,?a  parent  ?b,0.020985,0.928571,0.928571,26,28,28,?b
?a  child  ?f  ?b  sibling  ?f   ,?a  child  ?b,0.14233,0.927835,0.927835,270,291,291,?b
?a  child  ?f  ?f  sibling  ?b   ,?a  child  ?b,0.14233,0.927835,0.927835,270,291,291,?b
?a  parent  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.812752,0.806891,0.922161,1007,1248,1092,?b
?a  parent  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.812752,0.807538,0.922161,1007,1247,1092,?b
?f  parent  ?b  ?a  sibling  ?f   ,?a  parent  ?b,0.31477,0.919811,0.919811,390,424,424,?b
?e  parent  ?b  ?e  sibling  ?a   ,?a  parent  ?b,0.31477,0.919811,0.919811,390,424,424,?b
?b  parent  ?a  ?a  successor  ?b   ,?a  child  ?b,0.075382,0.733333,0.899371,143,195,159,?b
?b  parent  ?a  ?b  predecessor  ?a   ,?a  child  ?b,0.075382,0.733333,0.899371,143,195,159,?b
?a  parent  ?b  ?a  predecessor  ?b   ,?a  father  ?b,0.258359,0.871795,0.894737,170,195,190,?a
?a  parent  ?b  ?b  successor  ?a   ,?a  father  ?b,0.258359,0.871795,0.894737,170,195,190,?a
?b  child  ?f  ?a  name  ?f   ,?a  parent  ?b,0.058918,0.869048,0.890244,73,84,82,?b
?a  mother  ?f  ?f  spouse  ?b   ,?a  father  ?b,0.74924,0.883513,0.888288,493,558,555,?a
?a  mother  ?f  ?b  spouse  ?f   ,?a  father  ?b,0.74772,0.883303,0.888087,492,557,554,?a
?f  child  ?a  ?b  name  ?f   ,?a  mother  ?b,0.159176,0.267296,0.885417,85,318,96,?a
?b  mother  ?f  ?a  name  ?f   ,?a  child  ?b,0.044808,0.691057,0.885417,85,123,96,?b
?a  father  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.402744,0.737075,0.884752,499,677,564,?b
?a  father  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.401937,0.735598,0.884547,498,677,563,?b
?e  mother  ?b  ?a  sibling  ?e   ,?a  mother  ?b,0.327715,0.841346,0.866337,175,208,202,?a
?e  mother  ?b  ?e  sibling  ?a   ,?a  mother  ?b,0.327715,0.841346,0.866337,175,208,202,?a
?b  name  ?f  ?a  parent  ?f   ,?a  mother  ?b,0.224719,0.794702,0.863309,120,151,139,?a
?f  gender  ?b  ?a  predecessor  ?f   ,?a  gender  ?b,0.198284,0.613569,0.852459,208,339,244,?a
?e  gender  ?b  ?e  successor  ?a   ,?a  gender  ?b,0.198284,0.613569,0.852459,208,339,244,?a
?f  gender  ?b  ?a  successor  ?f   ,?a  gender  ?b,0.197331,0.616071,0.851852,207,336,243,?a
?e  gender  ?b  ?e  predecessor  ?a   ,?a  gender  ?b,0.197331,0.616071,0.851852,207,336,243,?a
?f  mother  ?b  ?a  sibling  ?f   ,?a  parent  ?b,0.142857,0.850962,0.850962,177,208,208,?b
?e  mother  ?b  ?e  sibling  ?a   ,?a  parent  ?b,0.142857,0.850962,0.850962,177,208,208,?b
?a  name  ?f  ?b  parent  ?f   ,?a  child  ?b,0.050079,0.629139,0.840708,95,151,113,?b
?a  name  ?f  ?b  successor  ?f   ,?a  predecessor  ?b,0.042463,0.833333,0.833333,20,24,24,?b
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  predecessor  ?b,0.010616,0.25,0.833333,5,20,6,?b
?f  marriedTo  ?b  ?a  parent  ?f   ,?a  predecessor  ?b,0.010616,0.263158,0.833333,5,19,6,?b
?a  name  ?f  ?f  predecessor  ?b   ,?a  predecessor  ?b,0.042463,0.833333,0.833333,20,24,24,?b
?f  marriedTo  ?a  ?b  parent  ?f   ,?a  successor  ?b,0.010616,0.263158,0.833333,5,19,6,?a
?a  marriedTo  ?f  ?b  parent  ?f   ,?a  successor  ?b,0.010616,0.25,0.833333,5,20,6,?a
?b  name  ?f  ?f  predecessor  ?a   ,?a  successor  ?b,0.042463,0.833333,0.833333,20,24,24,?a
?b  name  ?f  ?a  successor  ?f   ,?a  successor  ?b,0.042463,0.833333,0.833333,20,24,24,?a
?f  father  ?a  ?b  sibling  ?f   ,?a  child  ?b,0.077491,0.696682,0.825843,147,211,178,?b
?e  father  ?a  ?e  sibling  ?b   ,?a  child  ?b,0.077491,0.696682,0.825843,147,211,178,?b
?b  name  ?f  ?a  predecessor  ?f   ,?a  predecessor  ?b,0.044586,0.807692,0.807692,21,26,26,?b
?b  name  ?f  ?f  successor  ?a   ,?a  predecessor  ?b,0.044586,0.807692,0.807692,21,26,26,?b
?a  name  ?f  ?b  predecessor  ?f   ,?a  successor  ?b,0.044586,0.807692,0.807692,21,26,26,?a
?a  name  ?f  ?f  successor  ?b   ,?a  successor  ?b,0.044586,0.807692,0.807692,21,26,26,?a
?f  mother  ?a  ?b  name  ?f   ,?a  child  ?b,0.02214,0.531646,0.807692,42,79,52,?b
?a  father  ?f  ?f  marriedTo  ?b   ,?a  mother  ?b,0.013109,0.777778,0.777778,7,9,9,?a
?b  father  ?a   ,?a  child  ?b,0.159199,0.458967,0.766497,302,658,394,?b
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  parent  ?b,0.010492,0.65,0.764706,13,20,17,?b
?f  marriedTo  ?b  ?a  parent  ?f   ,?a  parent  ?b,0.010492,0.684211,0.764706,13,19,17,?b
?a  father  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.923221,0.728213,0.757296,493,677,651,?a
?a  father  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.921348,0.726736,0.75576,492,677,651,?a
?e  mother  ?a  ?e  name  ?b   ,?a  child  ?b,0.02214,0.093126,0.75,42,451,56,?b
?f  parent  ?a  ?b  sibling  ?f   ,?a  child  ?b,0.142857,0.639151,0.742466,271,424,365,?b
?e  parent  ?a  ?e  sibling  ?b   ,?a  child  ?b,0.142857,0.639151,0.742466,271,424,365,?b
?f  sibling  ?a  ?b  successor  ?f   ,?a  parent  ?b,0.067797,0.446809,0.730435,84,188,115,?b
?a  sibling  ?f  ?b  successor  ?f   ,?a  parent  ?b,0.067797,0.446809,0.730435,84,188,115,?b
?f  predecessor  ?b  ?a  sibling  ?f   ,?a  parent  ?b,0.067797,0.446809,0.730435,84,188,115,?b
?e  predecessor  ?b  ?e  sibling  ?a   ,?a  parent  ?b,0.067797,0.446809,0.730435,84,188,115,?b
?b  child  ?a  ?b  successor  ?a   ,?a  parent  ?b,0.115416,0.697561,0.715,143,205,200,?b
?b  child  ?a  ?a  predecessor  ?b   ,?a  parent  ?b,0.115416,0.697561,0.715,143,205,200,?b
?b  parent  ?a   ,?a  child  ?b,0.292567,0.447942,0.713368,555,1239,778,?b
?f  mother  ?a  ?b  sibling  ?f   ,?a  child  ?b,0.064312,0.586538,0.67033,122,208,182,?b
?e  mother  ?a  ?e  sibling  ?b   ,?a  child  ?b,0.064312,0.586538,0.67033,122,208,182,?b
?b  mother  ?a   ,?a  child  ?b,0.130733,0.464419,0.67027,248,534,370,?b
?a  father  ?f  ?b  marriedTo  ?f   ,?a  mother  ?b,0.011236,0.666667,0.666667,6,9,9,?a
?b  mother  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.144439,0.491039,0.663438,274,558,413,?b
?b  mother  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.144439,0.491921,0.663438,274,557,413,?b
?b  name  ?f  ?f  parent  ?a   ,?a  child  ?b,0.038482,0.366834,0.657658,73,199,111,?b
?a  child  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.311725,0.64497,0.64497,327,507,507,?a
?b  marriedTo  ?f  ?a  mother  ?f   ,?a  father  ?b,0.010638,0.636364,0.636364,7,11,11,?a
?e  mother  ?b  ?a  successor  ?e   ,?a  spouse  ?b,0.122396,0.447619,0.632287,141,315,223,?a
?e  mother  ?b  ?e  predecessor  ?a   ,?a  spouse  ?b,0.122396,0.447619,0.632287,141,315,223,?a
?e  child  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.381316,0.211305,0.625,400,1893,640,?a
?f  child  ?a  ?b  father  ?f   ,?a  sibling  ?b,0.756329,0.15165,0.612821,239,1576,390,?a
?e  name  ?b  ?e  parent  ?a   ,?a  child  ?b,0.038482,0.068352,0.608333,73,1068,120,?b
?e  father  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.345091,0.607383,0.607383,362,596,596,?a
?a  father  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.379409,0.604863,0.605784,398,658,657,?a
?f  child  ?a  ?b  mother  ?f   ,?a  sibling  ?b,0.64557,0.156802,0.60177,204,1301,339,?a
?f  child  ?a  ?b  parent  ?f   ,?a  sibling  ?b,0.870253,0.132786,0.599129,275,2071,459,?a
?a  parent  ?f  ?b  parent  ?f   ,?a  sibling  ?b,1,0.316633,0.597353,316,998,529,?a
?b  father  ?f  ?a  parent  ?f   ,?a  sibling  ?b,0.981013,0.320248,0.596154,310,968,520,?a
?a  father  ?f  ?b  parent  ?f   ,?a  sibling  ?b,0.981013,0.320248,0.596154,310,968,520,?a
?b  child  ?f  ?f  name  ?a   ,?a  mother  ?b,0.078652,0.090713,0.591549,42,463,71,?a
?a  father  ?f  ?b  father  ?f   ,?a  sibling  ?b,0.962025,0.316008,0.59144,304,962,514,?a
?f  child  ?b  ?a  marriedTo  ?f   ,?a  child  ?b,0.017923,0.576271,0.576271,34,59,59,?b
?e  child  ?b  ?e  marriedTo  ?a   ,?a  child  ?b,0.017923,0.576271,0.576271,34,59,59,?b
?b  successor  ?a   ,?a  parent  ?b,0.157385,0.414013,0.570175,195,471,342,?b
?a  predecessor  ?b   ,?a  parent  ?b,0.157385,0.414013,0.570175,195,471,342,?b
?b  predecessor  ?a   ,?a  child  ?b,0.108065,0.435244,0.569444,205,471,360,?b
?a  successor  ?b   ,?a  child  ?b,0.108065,0.435244,0.569444,205,471,360,?b
?b  mother  ?f  ?a  parent  ?f   ,?a  sibling  ?b,0.829114,0.329146,0.5671,262,796,462,?a
?a  mother  ?f  ?b  parent  ?f   ,?a  sibling  ?b,0.829114,0.329146,0.5671,262,796,462,?a
?b  parent  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.278861,0.423878,0.562766,529,1248,940,?b
?b  parent  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.278861,0.424218,0.562766,529,1247,940,?b
?a  mother  ?f  ?b  mother  ?f   ,?a  sibling  ?b,0.810127,0.324051,0.561404,256,790,456,?a
?a  name  ?f  ?f  parent  ?b   ,?a  father  ?b,0.162614,0.537688,0.560209,107,199,191,?a
?e  name  ?a  ?e  parent  ?b   ,?a  father  ?b,0.162614,0.100187,0.560209,107,1068,191,?a
?f  father  ?a  ?b  name  ?f   ,?a  child  ?b,0.016342,0.284404,0.553571,31,109,56,?b
?b  child  ?a  ?a  parent  ?b   ,?a  father  ?b,0.458967,0.544144,0.550091,302,555,549,?a
?a  parent  ?b   ,?a  father  ?b,1,0.531073,0.549708,658,1239,1197,?a
?b  child  ?a   ,?a  father  ?b,0.458967,0.159199,0.546112,302,1897,553,?a
?b  child  ?f  ?a  name  ?f   ,?a  mother  ?b,0.078652,0.5,0.545455,42,84,77,?a
?b  child  ?f  ?f  mother  ?a   ,?a  spouse  ?b,0.173611,0.522193,0.534759,200,383,374,?a
?a  child  ?f  ?f  mother  ?b   ,?a  spouse  ?b,0.173611,0.522193,0.533333,200,383,375,?a
?e  gender  ?b  ?e  parent  ?a   ,?a  gender  ?b,0.541468,0.507596,0.525926,568,1119,1080,?a
?f  gender  ?b  ?a  parent  ?f   ,?a  gender  ?b,0.598665,0.52377,0.524645,628,1199,1197,?a
?b  father  ?f  ?f  successor  ?a   ,?a  sibling  ?b,0.243671,0.182464,0.516779,77,422,149,?a
?b  father  ?f  ?a  predecessor  ?f   ,?a  sibling  ?b,0.243671,0.182464,0.516779,77,422,149,?a
?b  child  ?f  ?f  sibling  ?a   ,?a  father  ?b,0.223404,0.505155,0.510417,147,291,288,?a
?b  child  ?f  ?a  sibling  ?f   ,?a  father  ?b,0.223404,0.505155,0.510417,147,291,288,?a
?b  child  ?f  ?f  parent  ?a   ,?a  spouse  ?b,0.335069,0.488608,0.509908,386,790,757,?a
?a  child  ?f  ?f  parent  ?b   ,?a  spouse  ?b,0.335069,0.488608,0.509908,386,790,757,?a
?a  father  ?b   ,?a  predecessor  ?b,0.360934,0.258359,0.508982,170,658,334,?b
?b  father  ?a   ,?a  successor  ?b,0.360934,0.258359,0.508982,170,658,334,?a
?e  father  ?a  ?e  name  ?b   ,?a  child  ?b,0.016342,0.054007,0.508197,31,574,61,?b
?a  parent  ?b   ,?a  predecessor  ?b,0.414013,0.157385,0.502577,195,1239,388,?b
?b  parent  ?a   ,?a  successor  ?b,0.414013,0.157385,0.502577,195,1239,388,?a
?a  father  ?f  ?f  name  ?b   ,?a  predecessor  ?b,0.012739,0.012876,0.5,6,466,12,?b
?b  father  ?f  ?f  name  ?a   ,?a  successor  ?b,0.012739,0.012876,0.5,6,466,12,?a
?e  parent  ?b  ?a  sibling  ?e   ,?a  father  ?b,0.317629,0.492925,0.5,209,424,418,?a
?e  parent  ?b  ?e  sibling  ?a   ,?a  father  ?b,0.317629,0.492925,0.5,209,424,418,?a
?a  parent  ?b   ,?a  mother  ?b,1,0.430993,0.498599,534,1239,1071,?a
?e  father  ?b  ?e  parent  ?a   ,?a  spouse  ?b,0.347222,0.408163,0.496278,400,980,806,?a
?e  father  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.346354,0.407143,0.496269,399,980,804,?a
?e  parent  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.702257,0.417225,0.495711,809,1939,1632,?a
?e  mother  ?a  ?e  parent  ?b   ,?a  spouse  ?b,0.345486,0.455899,0.495641,398,873,803,?a
?e  mother  ?b  ?e  parent  ?a   ,?a  spouse  ?b,0.344618,0.454754,0.49563,397,873,801,?a
?b  parent  ?f  ?f  successor  ?a   ,?a  sibling  ?b,0.253165,0.169133,0.487805,80,473,164,?a
?b  parent  ?f  ?a  predecessor  ?f   ,?a  sibling  ?b,0.253165,0.169133,0.487805,80,473,164,?a
?a  name  ?e  ?e  parent  ?b   ,?a  mother  ?b,0.144195,0.386935,0.487342,77,199,158,?a
?e  name  ?a  ?e  parent  ?b   ,?a  mother  ?b,0.144195,0.072097,0.487342,77,1068,158,?a
?b  successor  ?a   ,?a  father  ?b,0.258359,0.360934,0.487106,170,471,349,?a
?a  predecessor  ?b   ,?a  father  ?b,0.258359,0.360934,0.487106,170,471,349,?a
?b  father  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.130733,0.366322,0.481553,248,677,515,?b
?b  father  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.130733,0.366322,0.481553,248,677,515,?b
?a  child  ?f  ?f  father  ?b   ,?a  spouse  ?b,0.152778,0.44557,0.475676,176,395,370,?a
?f  mother  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.122396,0.447619,0.474747,141,315,297,?a
?e  mother  ?a  ?e  predecessor  ?b   ,?a  spouse  ?b,0.122396,0.447619,0.474747,141,315,297,?a
?b  child  ?f  ?f  father  ?a   ,?a  spouse  ?b,0.152778,0.44557,0.474394,176,395,371,?a
?b  child  ?a   ,?a  mother  ?b,0.464419,0.130733,0.469697,248,1897,528,?a
?b  spouse  ?f  ?f  successor  ?a   ,?a  parent  ?b,0.134786,0.346473,0.467787,167,482,357,?b
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.134786,0.346473,0.467787,167,482,357,?b
?e  spouse  ?b  ?e  successor  ?a   ,?a  parent  ?b,0.134786,0.346473,0.467787,167,482,357,?b
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.134786,0.346473,0.467787,167,482,357,?b
?a  father  ?f  ?b  name  ?f   ,?a  predecessor  ?b,0.012739,0.214286,0.461538,6,28,13,?b
?b  father  ?f  ?a  name  ?f   ,?a  successor  ?b,0.012739,0.214286,0.461538,6,28,13,?a
?a  mother  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.305732,0.258528,0.458599,144,557,314,?b
?a  mother  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.305732,0.258065,0.458599,144,558,314,?b
?b  mother  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.305732,0.258065,0.458599,144,558,314,?a
?b  mother  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.305732,0.258528,0.458599,144,557,314,?a
?b  spouse  ?f  ?f  successor  ?a   ,?a  mother  ?b,0.269663,0.298755,0.45283,144,482,318,?a
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.269663,0.298755,0.45283,144,482,318,?a
?a  mother  ?f  ?f  name  ?b   ,?a  mother  ?b,0.224719,0.45283,0.45283,120,265,265,?a
?a  predecessor  ?e  ?e  spouse  ?b   ,?a  mother  ?b,0.269663,0.298755,0.45283,144,482,318,?a
?e  spouse  ?b  ?e  successor  ?a   ,?a  mother  ?b,0.269663,0.298755,0.45283,144,482,318,?a
?f  sibling  ?a  ?b  sibling  ?f   ,?a  sibling  ?b,0.556962,0.452442,0.452442,176,389,389,?a
?a  sibling  ?f  ?b  sibling  ?f   ,?a  sibling  ?b,0.556962,0.452442,0.452442,176,389,389,?a
?f  sibling  ?b  ?a  sibling  ?f   ,?a  sibling  ?b,0.556962,0.452442,0.452442,176,389,389,?a
?e  sibling  ?a  ?e  sibling  ?b   ,?a  sibling  ?b,0.556962,0.452442,0.452442,176,389,389,?a
?f  gender  ?b  ?a  sibling  ?f   ,?a  gender  ?b,0.109628,0.45098,0.45098,115,255,255,?a
?e  gender  ?b  ?e  sibling  ?a   ,?a  gender  ?b,0.109628,0.45098,0.45098,115,255,255,?a
?f  name  ?a  ?b  successor  ?f   ,?a  father  ?b,0.013678,0.028939,0.45,9,311,20,?a
?e  name  ?a  ?e  predecessor  ?b   ,?a  father  ?b,0.013678,0.028939,0.45,9,311,20,?a
?a  parent  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.354565,0.133921,0.432642,167,1247,386,?b
?a  parent  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.354565,0.133814,0.432642,167,1248,386,?b
?b  parent  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.354565,0.133814,0.432642,167,1248,386,?a
?b  parent  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.354565,0.133921,0.432642,167,1247,386,?a
?e  parent  ?b  ?e  sibling  ?a   ,?a  mother  ?b,0.327715,0.412736,0.432099,175,424,405,?a
?e  parent  ?b  ?a  sibling  ?e   ,?a  mother  ?b,0.327715,0.412736,0.432099,175,424,405,?a
?a  mother  ?b   ,?a  predecessor  ?b,0.04034,0.035581,0.431818,19,534,44,?b
?b  mother  ?a   ,?a  successor  ?b,0.04034,0.035581,0.431818,19,534,44,?a
?b  mother  ?f  ?f  name  ?a   ,?a  child  ?b,0.044808,0.320755,0.431472,85,265,197,?b
?e  mother  ?a  ?e  mother  ?b   ,?a  name  ?b,0.139905,0.202299,0.429268,88,435,205,?a
?b  mother  ?f  ?a  predecessor  ?f   ,?a  sibling  ?b,0.028481,0.147541,0.428571,9,61,21,?a
?b  mother  ?f  ?f  successor  ?a   ,?a  sibling  ?b,0.028481,0.147541,0.428571,9,61,21,?a
?e  gender  ?b  ?e  mother  ?a   ,?a  gender  ?b,0.195424,0.427083,0.427083,205,480,480,?a
?f  gender  ?b  ?a  mother  ?f   ,?a  gender  ?b,0.216397,0.425094,0.425891,227,534,533,?a
?b  child  ?f  ?f  sibling  ?a   ,?a  mother  ?b,0.224719,0.412371,0.422535,120,291,284,?a
?b  child  ?f  ?a  sibling  ?f   ,?a  mother  ?b,0.224719,0.412371,0.422535,120,291,284,?a
?f  predecessor  ?a  ?b  sibling  ?f   ,?a  child  ?b,0.039009,0.393617,0.41573,74,188,178,?b
?f  sibling  ?b  ?a  successor  ?f   ,?a  child  ?b,0.039009,0.393617,0.41573,74,188,178,?b
?e  predecessor  ?a  ?e  sibling  ?b   ,?a  child  ?b,0.039009,0.393617,0.41573,74,188,178,?b
?b  sibling  ?f  ?a  successor  ?f   ,?a  child  ?b,0.039009,0.393617,0.41573,74,188,178,?b
?b  child  ?f  ?f  name  ?a   ,?a  father  ?b,0.047112,0.066955,0.413333,31,463,75,?a
?a  parent  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.926966,0.396953,0.410448,495,1247,1206,?a
?a  parent  ?e  ?e  spouse  ?b   ,?a  mother  ?b,0.925094,0.395833,0.409279,494,1248,1207,?a
?a  parent  ?f  ?f  spouse  ?b   ,?a  father  ?b,0.756839,0.399038,0.403239,498,1248,1235,?a
?a  parent  ?f  ?b  spouse  ?f   ,?a  father  ?b,0.755319,0.398557,0.402755,497,1247,1234,?a
