Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?a  comorbidity  Depression  ?a  drug  Afatinib   ,?a  sex  male,0.0769,0.517845,0.517845,769,1485,1485,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Depression   ,?a  ageCategory  young,0.0653,0.517843,0.517843,653,1261,1261,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Carboplatin   ,?a  sex  male,0.076,0.517711,0.517711,760,1468,1468,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.0396,0.517647,0.517647,396,765,765,?a
?a  biomarker  ROS1_Positive  ?a  drug  Nivolumab   ,?a  hasRelapse  Yes,0.0544,0.517602,0.517602,544,1051,1051,?a
?a  comorbidity  Others  ?a  sex  male   ,?a  ageCategory  old,0.1107,0.517532,0.517532,1107,2139,2139,?a
?a  comorbidity  Others  ?a  hasRelapse  No   ,?a  ageCategory  old,0.1108,0.517515,0.517515,1108,2141,2141,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Depression   ,?a  hasRelapse  No,0.0696,0.517472,0.517472,696,1345,1345,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  No   ,?a  sex  male,0.0771,0.51745,0.51745,771,1490,1490,?a
?a  drug  Nivolumab   ,?a  sex  male,0.1735,0.517447,0.517447,1735,3353,3353,?a
?a  sex  male  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.064,0.517381,0.517381,640,1237,1237,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.0447,0.517361,0.517361,447,864,864,?a
?a  sex  female  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0673,0.517294,0.517294,673,1301,1301,?a
?a  drug  Nivolumab  ?a  hasRelapse  No   ,?a  ageCategory  old,0.0869,0.517262,0.517262,869,1680,1680,?a
?a  hasRelapse  No  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0675,0.517241,0.517241,675,1305,1305,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  ageCategory  old,0.0904,0.517162,0.517162,904,1748,1748,?a
?a  biomarker  ALK_Positive  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.0544,0.51711,0.51711,544,1052,1052,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.053,0.517073,0.517073,530,1025,1025,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.053,0.517073,0.517073,530,1025,1025,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.0463,0.516741,0.516741,463,896,896,?a
?a  drug  Carboplatin  ?a  smokingHabit  Unknown   ,?a  sex  female,0.0451,0.516609,0.516609,451,873,873,?a
?a  biomarker  ALK_Positive   ,?a  sex  male,0.1559,0.516567,0.516567,1559,3018,3018,?a
?a  ageCategory  young  ?a  drug  Carboplatin   ,?a  sex  female,0.089,0.516541,0.516541,890,1723,1723,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0518,0.516451,0.516451,518,1003,1003,?a
?a  ageCategory  old  ?a  drug  Afatinib   ,?a  sex  male,0.0912,0.516421,0.516421,912,1766,1766,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.0379,0.516349,0.516349,379,734,734,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  hasRelapse  Yes,0.0444,0.516279,0.516279,444,860,860,?a
?a  drug  Vinorelbine  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0446,0.516204,0.516204,446,864,864,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Depression   ,?a  sex  male,0.0694,0.515985,0.515985,694,1345,1345,?a
?a  comorbidity  Cardiopathy  ?a  drug  Afatinib   ,?a  sex  male,0.0761,0.515932,0.515932,761,1475,1475,?a
?a  biomarker  Unknown  ?a  drug  Afatinib   ,?a  sex  male,0.0602,0.515853,0.515853,602,1167,1167,?a
?a  ageCategory  old  ?a  drug  Cisplatin   ,?a  sex  male,0.0914,0.515801,0.515801,914,1772,1772,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.0395,0.515666,0.515666,395,766,766,?a
?a  biomarker  Unknown  ?a  comorbidity  Cardiopathy   ,?a  hasRelapse  No,0.0725,0.515647,0.515647,725,1406,1406,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  No   ,?a  sex  male,0.1094,0.515551,0.515551,1094,2122,2122,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.0766,0.515478,0.515478,766,1486,1486,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  Unknown   ,?a  ageCategory  young,0.0517,0.515454,0.515454,517,1003,1003,?a
?a  drug  Vinorelbine  ?a  hasRelapse  No   ,?a  sex  male,0.0911,0.515271,0.515271,911,1768,1768,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.0405,0.515267,0.515267,405,786,786,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0405,0.515267,0.515267,405,786,786,?a
?a  biomarker  Unknown  ?a  smokingHabit  Unknown   ,?a  sex  male,0.0408,0.515152,0.515152,408,792,792,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  sex  male,0.0408,0.515152,0.515152,408,792,792,?a
?a  biomarker  Unknown  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.0427,0.515078,0.515078,427,829,829,?a
?a  drug  Vinorelbine  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.0445,0.515046,0.515046,445,864,864,?a
?a  comorbidity  Others   ,?a  ageCategory  old,0.2217,0.514983,0.514983,2217,4305,4305,?a
?a  drug  Carboplatin  ?a  hasRelapse  Yes   ,?a  ageCategory  young,0.0879,0.514938,0.514938,879,1707,1707,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.0569,0.514932,0.514932,569,1105,1105,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  old,0.0658,0.514867,0.514867,658,1278,1278,?a
?a  biomarker  ROS1_Positive  ?a  sex  female   ,?a  hasRelapse  Yes,0.0753,0.514696,0.514696,753,1463,1463,?a
?a  comorbidity  Depression  ?a  sex  male   ,?a  ageCategory  old,0.1107,0.514644,0.514644,1107,2151,2151,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  sex  male,0.0478,0.514532,0.514532,478,929,929,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Depression   ,?a  ageCategory  young,0.0692,0.514498,0.514498,692,1345,1345,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.0554,0.514392,0.514392,554,1077,1077,?a
?a  comorbidity  Depression  ?a  smokingHabit  Unknown   ,?a  sex  male,0.0541,0.514259,0.514259,541,1052,1052,?a
?a  drug  Nivolumab  ?a  sex  female   ,?a  ageCategory  old,0.0832,0.514215,0.514215,832,1618,1618,?a
?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.1263,0.514042,0.514042,1263,2457,2457,?a
?a  biomarker  Unknown  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0407,0.513889,0.513889,407,792,792,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  hasRelapse  No,0.0407,0.513889,0.513889,407,792,792,?a
?a  ageCategory  young  ?a  biomarker  ALK_Positive   ,?a  hasRelapse  Yes,0.0769,0.513694,0.513694,769,1497,1497,?a
?a  ageCategory  old  ?a  hasRelapse  No   ,?a  sex  male,0.1297,0.513663,0.513663,1297,2525,2525,?a
?a  biomarker  Unknown  ?a  hasRelapse  Yes   ,?a  sex  female,0.0829,0.513631,0.513631,829,1614,1614,?a
?a  biomarker  ALK_Positive  ?a  biomarker  ROS1_Positive   ,?a  ageCategory  young,0.038,0.513514,0.513514,380,740,740,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0553,0.513463,0.513463,553,1077,1077,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  Unknown   ,?a  sex  male,0.0515,0.51346,0.51346,515,1003,1003,?a
?a  drug  Vinorelbine  ?a  smokingHabit  Unknown   ,?a  sex  male,0.044,0.513419,0.513419,440,857,857,?a
?a  drug  Nivolumab   ,?a  ageCategory  old,0.1721,0.513272,0.513272,1721,3353,3353,?a
?a  hasRelapse  No  ?a  smokingHabit  Unknown   ,?a  sex  male,0.064,0.513232,0.513232,640,1247,1247,?a
?a  ageCategory  young  ?a  biomarker  ROS1_Positive   ,?a  hasRelapse  Yes,0.0779,0.513175,0.513175,779,1518,1518,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.0663,0.513158,0.513158,663,1292,1292,?a
?a  drug  Cisplatin  ?a  sex  male   ,?a  hasRelapse  No,0.0917,0.513151,0.513151,917,1787,1787,?a
?a  biomarker  ALK_Positive  ?a  sex  male   ,?a  ageCategory  old,0.08,0.513149,0.513149,800,1559,1559,?a
?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.1337,0.513047,0.513047,1337,2606,2606,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  ageCategory  old,0.0789,0.513004,0.513004,789,1538,1538,?a
?a  comorbidity  Depression  ?a  drug  Carboplatin   ,?a  sex  male,0.0758,0.512855,0.512855,758,1478,1478,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0559,0.512844,0.512844,559,1090,1090,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.0703,0.512764,0.512764,703,1371,1371,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.0364,0.512676,0.512676,364,710,710,?a
